公司代號,公司簡稱,產業排位,2026實力指標,族群細分類 - 規格與應用導向,關鍵技術 / 產能指標 / 報價變量
2441,超豐,全球傳統封裝 (Wire-bond) 龍頭,邏輯 IC 導線架封裝產能與規模全球排位領先。,導線架封裝 (OSAT) / 傳統封裝 / 邏輯 IC,銅打線技術、QFN/SOP 大規模產能、低成本製程優勢
2442,新美齊,,,營建開發 / 土地管理 / 電子遺留資產,精品住宅建案、土地儲備價值、電子轉型資產活化
2444,兆勁,,,網通設備 / 記憶體模組 / 半導體測試,光纖通訊模組、記憶體精選 (Sorting) 測試、通訊零組件
2449,京元電子,全球半導體測試 (SoC/HPC) 龍頭,全球最大專業測試廠，AI 晶片 (GPU/ASIC) 測試量全球第一。,半導體測試 (OSAT) / 探針卡 / 燒測,AI 晶片測試 (高頻/大功耗)、SoC/CIS 測試平台產能
2450,神腦,, ,通訊代理 / 手機通路 / 維修服務,中華電信銷售體系、物流調度、全台維修站點
2451,創見,,,記憶體模組 / 工控儲存 / 固態硬碟 (SSD),特規工業用記憶體、韌體研發 (Wear-leveling)、全球品牌
2453,凌群,,,系統整合 (SI) / 金融電信專案 / AI 研發,雲端架構整合、資訊安全軟體、大型標案建置經驗
2454,聯發科,全球手機 SoC 龍頭,全球市佔第一，邊緣 AI 晶片技術與高通並列全球排位前二。,手機 SoC (天璣) / ASIC / 衛星通訊,先進製程 (4nm/3nm) 研發、AI 處理器 (NPU)、Wi-Fi 7
2455,全新,全球砷化鎵磊晶 (EPI) 前二,僅次於 IQE，為低軌衛星與 5G 射頻關鍵材料龍頭。,砷化鎵 (GaAs) 磊晶 / 5G PA / VCSEL,MOCVD 磊晶技術、6 吋產能、磷化銦 (InP) 規格
2457,飛宏,,,充電樁 (馳諾瓦) / 電源供應器 / 適配器,高功率直流快充技術、碳化矽 (SiC) 模組、北美能源法規
2458,義隆,全球筆電觸控 IC 龍頭,觸控螢幕、觸控板 (Touchpad) 晶片全球市佔第一。,觸控 IC / 指紋辨識 / 人機介面 (HMI),電容式觸控演算法、生物辨識安全規格、NB 觸控板市佔
2459,敦吉,,,電子代理 / 模具製造 / 檢測服務,高精密塑膠射出、繼電器規格、日系電子零件代理
2460,建通,,,端子製品 / 異型材 / 電器接插件,銅材異型加工技術、高傳導銅合金、全球插頭端子市佔
2461,光群雷,,,雷射全像材料 / 防偽包裝 / 薄膜技術,真空鍍鋁技術、雷射壓印 (Embossing)、薄膜厚度規格
2462,良得電,,,電源線組 / 數據線 / 車用線束,環保塑膠配方、DC 高頻傳輸規格、Amazon/Tesla 供應鏈
2464,盟立,台灣自動化倉儲與機器人系統龍頭,半導體自動化搬運 (AMHS) 系統排位全台領先。,自動化物流系統 / 機器人整合 / 潔淨室,自動化倉儲 (AS/RS)、半導體 OHT 系統、LCD 搬運設備
2465,麗臺,,,顯示卡 (Nvidia) / AI 伺服器 / 醫療穿戴,GPU 超頻與散熱、算力工作站組裝、血氧感測技術
2466,冠西電,,,光電繼電器 (SSR) / 光耦 / 通訊開關,固態繼電器隔離技術、高壓 MOSFET 整合、通訊安規
2467,志聖,台灣半導體與 PCB 設備龍頭,烘烤與真空壓膜技術進入 CoWoS 供應鏈，排位極前。,半導體設備 (CoWoS) / PCB 烤箱 / 壓膜,高真空壓膜技術、自動化撕膜、載板熱處理製程
2468,華經,,,資訊系統整合 (SI) / 雲端備份 / 影像,大型伺服器虛擬化、存儲區域網路 (SAN)、企業雲平台
2471,資通,,,ERP 軟體 / 銀行核心系統 / 資訊安全,ArgoERP 開發、金融訊息傳輸 (Swift)、資安弱點掃描
2472,立隆電,,,鋁質電解電容 / 固態電容 / 車用電子,高溫長壽命電解液、車規 (AEC-Q200)、低阻抗規格
2474,可成,全球高階機殼領導廠,筆電與醫療器材金屬機殼技術排位全球領先。,高端金屬機殼 / 鋁鎂合金鍛壓 / 醫療,多軸 CNC 精密加工、陽極處理工藝、輕量化強度規格
2476,鉅祥,,,精密沖壓模具 / 導線架 / 電子零組件,連續模具設計、鍍金/鍍錫製程、車用連接器組件
2477,美隆電,,,音響系統 (OEM) / 揚聲器 / 車用聲學,聲學結構設計、數位分音技術、智慧音箱組裝
2478,大毅,,,晶片電阻 (Resistor) / 防護元件 / 散熱,厚膜/薄膜技術、過壓保護規格、感測電阻 (Shunt)
2480,敦陽科,台灣 IT 系統整合 (SI) 龍頭,台灣金融與半導體業高階伺服器/存儲整合排位第一。,資通訊系統整合 / 網路安全 / 儲存,高階伺服器維護、數據備份與還原技術、IDC 機房標案
2481,強茂,,,整流二極體 / 功率半導體 (IGBT/SiC),晶圓減薄製程、蕭特基 (Schottky) 規格、TVS 瞬態抑制
2482,連宇,,,支付讀卡機 / 加密模組 / 零售自動化,安全加密演算法 (EMV)、磁條與晶片識別技術、POS 系統
2483,百容,,,程式開關 / 繼電器 / 導線架,小型化開關封裝、沖壓與塑膠射出整合、步進馬達控制
2484,希華,,,石英震盪器 (Crystal) / 濾波器 / 頻率,微影製程 (Photolithography)、微型化規格 (1210以下)
2485,兆赫,,,數位通訊 (STB) / 衛星轉訊器 / 濾波器,數位微波技術、LNB 降頻器規格、寬頻接入設備
2486,一詮,全球均熱片 (Lid) 領導廠,成功開發 CoWoS 用均熱片，為先進封裝散熱關鍵排位。,LED 導線架 / 陶瓷散熱基板 / 均熱片,高導熱材料、均熱片 (Vapor Chamber) 加工、散熱模組
2488,漢平,,,專業音訊設備 / 黑膠唱盤 / DJ 控制器,精密伺服馬達、唱臂機構設計、高品質訊號轉換規格
2489,瑞軒,,,顯示器代工 (ODM) / 視訊音響 / VR,局部調光 (Local Dimming) 技術、AR/VR 光學組裝、大尺寸面板採購
2491,吉祥全,,,記憶體封測代理 / 電子組件 / 貿易,記憶體晶粒 (Die) 篩選、IC 貿易鏈調度、供應鏈金融
2492,華新科,全球被動元件前五 / 台灣前二,MLCC 與低溫共燒陶瓷 (LTCC) 技術排位領先。,MLCC 被動元件 / LTCC 濾波器 / 晶片電阻,低溫共燒陶瓷 (LTCC) 技術、高 Q 值電感規格、5G 射頻前端
2493,揚博,,,(已於前批校正，主營半導體/PCB 濕製程設備),垂直電鍍線、真空蝕刻技術、半導體測試探針代理
2495,普安,,,磁碟陣列 (RAID) / 雲端儲存 / 伺服器,雙主動控制器架構、SAS/NVMe 介面整合、企業級備援規格
2496,卓越,,,幼教雲端平台 / 教育通路 / 數位內容,線上學習管理系統 (LMS)、光纖寬頻遺留資產、連鎖補教品牌
2497,怡利電,亞洲車載抬頭顯示器 (HUD) 龍頭,3D AR-HUD 技術在全球車用市場具備高度排位。,抬頭顯示器 (HUD) / 車載主機 / ADAS,3D AR-HUD 技術、光學投射模組、中國 OEM 供應鏈
2498,宏達電,全球 VR/XR 硬體與平台先驅,VIVE 系列在 VR 專業市場技術排位仍具全球影響力。,VR 裝置 (Vive) / 5G 專網 / 元宇宙,定位追蹤技術、Open RAN 5G 設備、手勢辨識演算法
2501,國建,台灣房地產開發指標龍頭,國泰集團體系，台灣最具品牌公信力之建商龍頭。,營建開發 / 住宅與商辦 / 國泰集團,精華區土地開發、綠建築規格、營收認列與完工週期
2504,國產,台灣預拌混凝土龍頭,台灣市佔第一，掌握高科技廠房專用混凝土規格權。,預拌混凝土 (頂級) / 碳捕獲 / 建材加工,高強度抗滲混凝土、砂石碼頭垂直整合、全台供料調度
2505,國揚,,,營建開發 / 精品豪宅 / 都市更新,精華地段都更權益、豪宅品牌溢價、土地價值重估
2506,太設,,,土地開發 / 百貨零售 / 營建統包,楊梅/太平洋百貨開發、公共工程承攬、都市重劃
2509,全坤建,,,營建開發 / 都更案場 / 商業地產,雙北都更整合能力、容積獎勵計算、建案銷售率
2511,太子,,,營建開發 / 飯店經營 / 統一集團旗下,住宅/學生宿舍 BOT、觀光飯店管理、土地存量規模
2514,龍邦,,,殯葬事業 / 投資投控 / 土地管理,泰山/中龍投資收益、生命事業產值、資產重估
2515,中工,,,土木工程統包 / 工業區開發 / 海外標案,大型道路/隧道工法、陶朱隱園、政府基礎設施標案
2516,新建,,,公共工程統包 (EPC) / 隧道/捷運 / 橋樑,特大型潛盾技術、軌道工程規格、原物料成本控制
2520,冠德,台灣捷運聯開案龍頭,台灣最大軌道經濟開發商，複合式商辦與聯開案排位第一。,營建開發 / 捷運共構 / 環球購物中心,捷運聯合開發 (JOD)、商場租賃收益、住宅產品定位
2524,京城,,,南部營建開發 / 豪宅案場 / 高雄地王,高雄農十六/美術館土地、住宅單價指標、完工入帳進度
2527,宏璟,,,科技廠辦開發 / 日月光集團體系 / 高階住宅,半導體廠房結構設計、日月光投控廠區擴建、土城/汐止土地存量
2528,皇普,,,營建開發 / 首購宅 / 全台佈局,標準化造屋流程、全台獵地策略、營建成本與毛利控制
2530,華建,,,營建開發 / 寶佳集團體系 / 資產活化,大規模土地儲備、建案快速週轉模式、完工量體控制
2534,宏盛,,,營建開發 / 帝寶品牌 / 淡海開發,大型造鎮計畫、高端豪宅維護技術、餘屋去化進度
2535,達欣工,台灣半導體廠房營造龍頭,台積電高階廠房核心營造商，半導體土建技術排位全台第一。,廠辦統包 (EPC) / 高端住宅 / 半導體廠,頂級半導體廠房結構、高精度施工、公共工程標案
2536,宏普,,,營建開發 / 住宅與商辦 / 飯店合作,住宅與和苑三井合作、雙北精華地段、容積移轉運用
2537,聯上發,,,營建開發 / 都市更新 / 精華案場,捷運沿線開發、小宅產品設計、預售銷售達成率
2538,基泰,,,都更案場 / 精華地段住宅 / 商辦,雙北都更整合進度、容積獎勵比率、案場安全管理規格
2539,櫻花建,,,首購住宅 / 寶佳集團體系 / 營建,高週轉率建案模式、標準化工法、台中/彰化土地儲備
2540,愛山林,,,房產代銷 / 自建案 / 廣告行銷,大數據客戶導流、全台代銷市佔、茂德/甲山林資源整合
2542,興富發,台灣營建創營收龍頭,台灣年度推案量與營收規模長期排位第一。,大型造鎮 / 商辦開發 / 購地龍頭,規模化營建採購利差、全台獵地規模、完工入帳總額
2543,皇昌,,,公共工程統包 / 海事工程 / 隧道,潛盾隧道技術、海堤防波堤工法、公共標案得標率
2545,皇翔,,,豪宅開發 / 都市更新 / 飯店經營,頂級建材規格、信義區地標價值、萬豪飯店體系合作
2546,根基,,,土木建築統包 / 冠德集團體系,高鐵/公路工程技術、企業總部建置、建案品質控管
2547,日勝生,,,捷運聯開 (OT/BOT) / 水資源處理,污水處理廠營運、銀髮住宅開發、轉投資基礎建設收益
2548,華固,台灣商辦建築指標龍頭,高階商辦與廠辦開發品牌力與獲利能力排位極前。,營建開發 / 頂級商辦 / 豪宅,邊建邊售模式、台北精華區土地儲備、完工入帳 EPS 指標
2597,潤弘,台灣預鑄工法 (Precast) 龍頭,全球領先的高階預鑄技術，為半導體快速建廠唯一指定排位。,預鑄工法 (Precast) / 高端廠辦,自動化預鑄技術、半導體廠快速建廠、潤泰集團技術鏈
2601,益航,,,散熱航運 / 百貨零售 / 金融租賃,輕便型貨輪運價、大連百貨經營、融資租賃利差
2603,長榮,全球定期航線排位第七 / 台灣海運龍頭,台灣最大船隊，具備歐美航線定價權。,貨櫃航運 (Ocean Carrier) / 聯盟,TEU 總運能、2.4 萬 TEU 超大型船、Ocean Alliance
2605,新興,,,散裝航運 (Capesize) / 油輪 (VLCC),鐵礦砂運費 (BDI)、超大型油輪日租金、船隊平均船齡
2606,裕民,台灣散裝航運龍頭,擁有全台最大且最年輕的環保散熱船隊，海岬型船排位第一。,散裝航運 (節能船隊) / 遠東集團,海岬型 (BC) 佔比、LNG 雙燃料船、海事數位化系統
2607,榮運,,,內陸貨櫃運輸 / 物流中心 / 租箱,長榮物流體系、大園物流園區、貨櫃拖車調度效率
2608,嘉里大榮,台灣第三方物流與冷鏈龍頭,台灣醫藥冷鏈與高階 B2B 物流市佔排位第一。,第三方物流 / 冷鏈運輸 / 醫藥物流,低溫配送車隊、自動化立體倉儲、GTP/GDP 醫藥物流認證
2609,陽明,全球前十大貨櫃航商 / 台灣前二,隸屬「THE Alliance」聯盟，具備全球航網佈局實力。,貨櫃航運 / 國家隊 / 遠洋航線,跨太平洋/歐洲航線佈局、THE Alliance、平均每標箱成本
2610,華航,,,航空運輸 / 貨運 (Cargo) / 亞洲航線,貨機機隊 (777F) 規模、燃油避險比率、客運承載率
2611,志信,,,內陸運輸 / 觀光飯店 / 土地活化,貨櫃運輸調度、美麗信酒店經營、資產開發價值
2612,中航,,,散裝航運 / 內陸物流 / 投資,20萬噸級海岬型船隊、貨櫃集散站營運、轉投資收益
2613,中櫃,,,貨櫃碼頭經營 / 倉儲 / 物流,基隆/台中碼頭作業效率、裝卸量 (Move) 統計、租賃收益
2614,東森,,,倉儲貿易 / 媒體零售 / 寵物雲,台中港穀物倉儲設施、數位轉型營收、新零售整合
2615,萬海,亞洲近洋航線龍頭 / 獲利率全球前三,亞洲區域航線市佔率極高，為近洋航運排位領袖。,近洋貨櫃航運 / 美西線 / 冷鏈,亞洲區間航線市佔、冷藏貨櫃規格、碼頭裝卸效率
2616,山隆,,,旅遊行程服務 / 數位票務 / 觀光,團體旅遊規劃、機票訂位系統整合、海外旅遊毛利率
2617,台航,,,散裝航運 (代營運) / 交通船 / 土地,台電/中油代營船隊、散裝船日租金、資產收租穩定性
2618,長榮航,台灣航空龍頭 / 全球最安全航空前十,台灣最大國際航空集團，航空貨運排位亦屬全球前三。,航空運輸 / 飛機維修 (EGAT) / 跨洲,787/777 機隊配置、高端艙等溢價、全球航空維修認證
2630,亞航,,,飛機維修 (MRO) / 軍機維護 / 航太,窄體客機維修、軍用直升機與運輸機保養、附件翻修認證
2633,台灣高鐵,台灣高速鐵路唯一特許龍頭,台灣西部長程運輸絕對壟斷排位，具備公共事業高度防禦性。,軌道運輸 / 高速鐵路 / 特許經營,列車自動控制系統 (ATC)、離峰/尖峰運能調度、票價調漲權
2634,漢翔,台灣航太工業與軍機外修龍頭,台灣唯一具備完整飛機設計與組裝能力，勇鷹號高教機唯一排位。,航太製造 (OEM) / 軍機研發 (勇鷹) / 引擎,複材加工技術、LEAP 引擎機匣、國機國造產能利用率
2636,台驊控股,,,海空運承攬 (Forwarder) / 物流投資,全球貨位調度能力、報關與倉儲整合、海空運價利差
2637,慧洋-KY,全球最大中小型節能散裝船隊,輕便型與超輕便型船隊規模全球排位領先。,散裝航運 (節能船隊) / 中小型船,Handy/Panamax 船隊規模、期約換約利率、節能引擎規格
2642,宅配通,,,物流快遞 (宅配) / 冷鏈運輸 / 電商配送,自動化分揀系統、最後一哩 (Last Mile) 配送效率、轉投資東源物流
2645,長榮航太,全球主要航太維修 (MRO) 龍頭級,波音與空巴全球核心維修夥伴，改裝貨機技術全球前三。,飛機維修 / 引擎翻修 (MRO) / 組件製造,GEnx 引擎維修技術、客改貨 (P2F) 工藝、波音/空中巴士認證
2646,星宇航空,,,航空運輸 / 高端客運 / 跨洲航線,A350/A321neo 機隊規模、精品化服務溢價、轉機市場布局
2701,萬企,,,觀光飯店 / 戲院 / 土地資產,西門町土地開發、今日大樓租賃收益、電影院經營
2702,華園,,,觀光飯店 / 美國旅館經營 / 品牌授權,加州/佛州旅館 RevPAR、洲際 (IHG) 品牌合作、匯率變動
2704,國賓,,,觀光飯店 / 餐飲 (A Cut) / 都更開發,飯店都更案 (改建為豪宅/商辦)、高端牛排館品牌力
2705,六福,,,主題樂園 / 觀光飯店 / 動物園,六福村入園人數、物業管理、資產開發價值
2706,第一店,,,觀光飯店 / 商務旅館 / 土地資產,第一大飯店經營、店面租賃收益、不動產投資估值
2707,晶華,台灣頂級觀光飯店與品牌龍頭,擁有全台最賺錢單一飯店 (Regent)，品牌價值全台第一。,高端飯店 (Regent) / 餐飲管理 / 品牌授權,台北晶華 RevPAR、全球品牌權利金、國際客住房率
2712,遠雄來,,,觀光飯店 / 花蓮旅遊 / 主題公園,遠雄海洋公園、東部觀光住房率、集團內需客源支持
2722,夏都,,,觀光飯店 / 墾丁度假 / 營運權,墾丁夏都沙灘優勢、觀光景點受歡迎度、平均房價 (ADR)
2723,美食-KY,台灣連鎖烘焙通路全球布局龍頭,85度C 全球店數規模與跨國經營能力排位領先。,餐飲連鎖 (85度C) / 烘焙 / 全球布局,中央廚房標準化、中國/美國展店數、原物料成本 (糖/麵粉)
2727,王品,台灣連鎖餐飲集團龍頭,台灣最大餐飲集團，多品牌營運模式與店數排位第一。,多品牌餐飲 / 餐廳經營 / SOP 規模化,翻桌率指標、集團採購議價力、各品牌同店銷售 (SSS)
2731,雄獅,台灣旅遊服務與實體通路龍頭,台灣最大旅行社，出境旅遊與包機業務排位絕對第一。,旅遊行程服務 / 數位通路 / 出境旅遊,團體旅遊市佔、門市與數位系統整合、機位調度能力
2739,寒舍,,,觀光飯店 / 高端餐飲 / 五星級酒店,台北喜來登/寒舍艾美、RevPAR (平均客房收益)、餐飲營收占比
2748,雲品,,,觀光飯店 (日月潭) / 婚宴餐飲 / 物業管理,頂級渡假飯店規格、君品 Collection 外燴管理、碳中和認證標章
2753,八方雲集,台灣中式連鎖快餐龍頭,全台最大連鎖門市規模，中式餐飲自動化生產排位第一。,中式連鎖餐飲 / 麵食 / 生鮮物流,高效率水餃連鎖 SOP、自動化包裝產線、梁社漢排骨品牌
2762,世界健身-KY,,,連鎖健身中心 / 運動器材 / 會員管理,店鋪展店 SOP、教練課轉化率、APP 數位會員生態系、營收穩定度
2801,彰銀,,,公股行庫 / 企業放款 / 數位金融,利差 (NIM)、逾放比 (NPL)、中小企業貸款規模
2812,台中銀,,,區域銀行 / 金融租賃 / 放款,資本適足率 (BIS)、中台灣客戶基礎、利息淨收益
2816,旺旺保,,,產物保險 / 損害賠償 / 數位投保,自留保費增長率、核保損益 (Combined Ratio)、投資組合收益
2820,華票,,,票券金融業 / 債券交易 / 貨幣市場,票券長短利差 (Spread)、RP/RS 交易規模、債券評價損益
2832,台產,,,產物保險 / 損害賠償 / 居家與防疫險,自留保費增長、核保損益 (Combined Ratio)、投資部位收益
2834,臺企銀,,,公股行庫 / 中小企業融資 / 利息收益,活存比、中小企業放款規模、逾放比 (NPL) 控制
2836,高雄銀,,,區域性銀行 / 房貸與企金 / 高雄布局,地方政府代理庫、房屋貸款市佔、區域型經濟連動性
2838,聯邦銀,,,民營銀行 / 信用卡 / 消費金融,信用卡發卡量、手續費收入占比、數位帳戶開戶數
2845,遠東銀,,,民營銀行 / 跨境金流 / 遠東集團鏈,Bankee 數位品牌、集團內需消金、資本適足率 (BIS)
2849,安泰銀,,,民營銀行 / 企金與理財 / 股權投資,存款利差 (NIM)、財富管理手續費、資產品質穩定性
2850,新產,,,產物保險 / 車險與火險 / 穩健獲利,理賠率控制、專業核保能力、再保險分出比率
2851,中再保,,,再保險 / 風險管理 / 國際保險,再保費率 (Pricing)、國際天災損失連結、資本增長
2852,第一保,,,產物保險 / 責任險 / 穩健配息,自留溢額、保單成本率、投資不動產收租效益
2855,統一證,,,綜合證券 / 自營操作 / 投顧,經紀業務規模、自營操作績效、權證發行量
2867,三商壽,,,人壽保險 / 長期保單 / 資產配置,ICS 2.0 接軌進度、RBC 增資壓力、美債投資部位
2880,華南金,,,公股金控 / 銀行為主 / 消費金融,金融與證券協同效應、利息淨收益、公股獲利前段班
2881,富邦金,台灣金融金控獲利龍頭,蟬聯多年台灣 EPS 獲利王，產險與壽險排位全台第一。,壽險金控龍頭 / 銀行與證券 / 投資,壽險獲利爆發力、台北富邦銀放款規模、淨值比 (P/B)
2882,國泰金,台灣最大資產規模金控,壽險與資產管理規模全台第一，影響力位居排位頂尖。,大型金控 / 壽險與資產管理 / 數位轉型,國泰人壽 ICS 2.0 接軌、Cathay 數位平台、AUM 規模
2883,凱基金,,,金控 (原開發金) / 證券與銀行 / 壽險,凱基證券獲利力、凱基人壽資產配置、凱基銀行消金
2884,玉山金,,,民營金控 / 數位金融 / 財富管理,信用卡市佔、數位外匯交易、高資產客群淨利
2885,元大金,台灣證券與經紀業務龍頭,證券市佔率與 ETF 產品規模全台排位第一。,證券金控龍頭 / ETF 與經紀 / 投信,台股成交量受惠者、ETF 發行規模、泛證券業務收益
2886,兆豐金,台灣外匯與公股行庫龍頭,台灣最大外匯清算銀行，具備國際金融排位優勢。,公股金控 / 外匯與企金 / 穩定配息,全球外匯龍頭、利差受惠度、公股獲利王地位
2887,台新新光金,,,民營金控 / 數位支付 (Richart) / 保險,新壽 ICS 2.0 接軌、合併後綜效 (Synergy)、外資持股比
2889,國票金,,,票券金融 / 數位銀行 (樂天) / 債券,票券長短利差、債券部位評價、樂天銀行虧損縮減
2890,永豐金,,,民營金控 / 銀行與證券 / 綠色金融,綠色授權規模、財富管理成長、數位證券開戶數
2891,中信金,台灣信用卡與民營銀行龍頭,台灣最大民營銀行，消費金融與手續費收入排位第一。,大型金控 / 銀行與人壽 / 亞洲布局,台灣銀行獲利王、海外分行收益、中信銀放款動能
2892,第一金,,,公股金控 / 銀行為主 / 穩健增長,企金放款結構、利息與手續費平衡、公股績優生
2897,王道銀行,,,原生數位銀行 / 企業金融 / 租賃,O-Bank 獲利轉正、中租聯貸參與、資產轉型進度
2901,欣欣,,,百貨零售 / 戲院 / 資產活化,退輔會體系、欣欣大眾百貨營運、戲院與土地價值
2903,遠百,台灣百貨零售與量販龍頭,擁有遠東百貨、SOGO 與愛買，全台零售排位前二。,百貨零售 / 購物中心 / 土地資產,坪效 (Sales per sq ft)、CitySuper 營收、全台土地重估價值
2904,匯僑,,,石化倉儲 / 能源貿易 / 儲槽經營,港口儲槽利用率、散裝化學品周轉、能源貿易利差
2905,三商,,,百貨零售 / 餐飲 (三商巧福) / 壽險投控,連鎖餐飲 SOP 規模、三商美邦人壽資產配置、美廉社店數
2906,高林,,,貿易出口 / 時尚品牌代理 / 醫美投資,成衣貿易訂單、品牌代理溢價、生技轉投資收益
2908,特力,台灣居家修繕與貿易龍頭,旗下特力屋、HOLA 為全台最大居家修繕品牌。,居家貿易 (HOLA) / 手工具 / 全球採購,美國大型賣場庫存去化、自有品牌比例、智慧居家技術
2910,統領,,,百貨零售 / 土地資產 / 影城餐飲,桃園/台北精華區商場租賃、坪效轉化、土地資產重估價值
2911,麗嬰房,,,嬰童服飾 / 品牌連鎖 / 電商經營,中國市場店數、出生率連動、全通路 (Omnichannel) 轉化率
2912,統一超,台灣超商與實體通路絕對龍頭,7-11 全台店數市佔第一，物流與數位會員體系排位亞洲領先。,超商龍頭 (7-11) / 數位生態 (OPENPOINT),單店日均營收 (PSD)、Fresh 複合店比例、物流配送效率
2913,農林,,,茶葉生產 / 土地資產 / 綠能開發,全台最大農地儲備、碳權開發價值、太陽能案場建置
2915,潤泰全,,,貿易百貨 / 紡織轉型 / 南山人壽投控,權益法認列 (南山人壽)、資產重估、連鎖零售獲利
2923,鼎固-KY,,,中國地產開發 / 商辦租賃 / 日月光體系,上海/重慶案場去化率、租金回報率、匯率損益變動
2929,淘帝-KY,,,童裝品牌 / 中國市場 / 快時尚,線上分銷比例、庫存周轉天數、品牌行銷費率 (S&A)
2939,永邑-KY,,,百貨貿易 / 產品開發 / 跨境供應鏈,(註：依 2026 年更名後業務：家用/廚具貿易與通路整合、庫存周轉率)
2945,三商家購,,,零售通路 (美廉社) / 社區藥妝,巷弄社區滲透率、自有品牌營收佔比、外送整合效率
3002,歐格,,,電源保護組件 / 智慧插座 / 醫療電源,電湧防護技術、工業/醫療級安規認證、智慧家居通訊模組
3003,健和興,全球車用與綠能連接器領先者,台灣電端子龍頭，電動車充電槍與儲能連接器排位全台第一。,連接器 / 電控端子 / 綠能充電,電動車充電槍規格 (CCS1/CCS2/NACS)、配電盤端子
3004,豐達科,亞洲航太發動機扣件龍頭,全球四大發動機大廠 (GE/RR/Snecma/P&W) 核心供應商。,航太扣件 / 引擎螺栓 / 高端冷鍛,航太級高溫合金加工、GE/Rolls-Royce 認證、疲勞強度規格
3005,神基,全球強固型電腦排位第二,Getac 品牌在全球軍工與警用市場市佔率僅次於松下 (Panasonic)。,強固型電腦 (Getac) / 綜合機構件 / 車用,軍規認證 (MIL-STD)、碳纖維材料加工、ADPCM 鋁壓鑄
3006,晶豪科,,,利基型記憶體 (DRAM) / SoC 封裝,38nm/25nm 利基型製程、IoT 應用規格、DRAM 報價週期
3008,大立光,全球高階手機鏡頭絕對龍頭,全球技術第一，掌握 8P 與潛望式鏡頭最高規格專利權。,高階光學鏡頭 (塑膠) / 潛望式鏡頭,8P/9P 鏡頭良率、G+P (玻塑) 混合鏡頭、VCM 垂直整合
3010,華立,台灣半導體前段材料通路龍頭,台積電光阻液、研磨液核心代理，高階材料供應排位第一。,電子材料通路 / 半導體化學 / 綠能,EUV 光阻劑代理、IC 封裝材配方、工法解決方案
3011,今皓,,,連接線材 / 導線架 / 車用影音,高頻數據傳輸規格 (USB 4.0)、車載鏡頭線束、自動化焊接
3013,晟銘電,全球 AI 伺服器機殼與液冷機櫃領先者,掌握 Nvidia GB200 機櫃組裝關鍵技術，伺服器機構排位極前。,伺服器機殼 / MIM 技術 / 散熱水冷,金屬粉末射出成型、AI 伺服器機箱組裝、液冷機櫃設計
3014,聯陽,,,I/O 控制 IC / 影音傳輸 SoC / 嵌入式,Super I/O 市佔、DP/HDMI 訊號轉換技術、觸控控制晶片
3015,全漢,,,電源供應器 / 工業電源 / 儲能系統,80 PLUS 鈦金級規格、客製化醫療電源、CRPS 模組
3016,嘉晶,,,磊晶圓 (Epi Wafer) / 化合物半導體,SiC/GaN 磊晶生長技術、6 吋/8 吋產能、功率元件規格
3017,奇鋐,全球 AI 伺服器散熱龍頭,3DVC 與液冷散熱產能全球前三，掌握高階冷卻技術排位。,散熱模組 (AI) / 散熱片 / 風扇,3D VC (均熱板)、液冷散熱系統 (Cold Plate)、伺服器機箱
3018,隆銘綠能,,,環保工程 / 綠能技術 / 基礎設施,廢棄物處理製程、減碳工程統包、機電工程維護
3019,亞光,,,光學鏡頭 (G+P) / 潛望式鏡頭 / 車用,玻璃/塑膠混合鏡頭技術、雷射測距、車載感測鏡頭規格
3021,鴻名,,,連接線束 / 系統整合 (SI) / 3C 配件,車規與家電線束加工、資訊系統整合服務、連接器規格
3022,威強電,,,工業電腦 (IPC) / 醫療器材 / AI 邊緣,嵌入式系統設計、醫療顯示器規格、邊緣運算硬體
3023,信邦,全球高階利基型連接線束龍頭,專注醫療、綠能、航太，為全球非消費性連接器排位標竿。,特種連接線束 / 綠能 / 醫療 / 車用,高複雜度線束加工、MAGIC 五大領域、客製化規格研發
3024,憶聲,,,家電品牌 (歌林) / 物流倉儲 / 資產,歌林品牌經營、物流園區出租率、土地資產開發
3025,星通,,,關鍵通訊網路 / 同步技術 / 電力鐵路,高可靠性傳輸設備、時脈同步技術、公共事業專網
3026,禾伸堂,,,被動元件 (MLCC) / 電子零件代理,高壓/高容 MLCC 自主研發、陶瓷材料配方、代理產品線
3027,盛達,,,通訊設備 / 電源管理 / 儲能系統,5G/LTE 路由器、ESS 儲能整合、光伏逆變器 (Inverter)
3028,增你強,,,電子零組件代理 / 閃存控制 / 電源,代理 Sandisk/Infineon、通路物流效率、庫存價值波動
3029,零壹,,,加值型網路代理 / 雲端 / 資安,企業級軟硬體代理、雲端架構諮詢、資安防護解決方案
3030,德律,全球 PCB 自動光學檢測 (AOI) 前三,半導體與 PCB 線路檢測設備技術領先。,自動檢測設備 (ATE) / AOI / SPI,3D 光學檢測演算法、半導體後段測試、精密探針技術
3031,佰鴻,,,LED 封裝 / 紅外線 / 照明,不可見光封裝、SMD LED 產能、客製化發光模組
3032,偉訓,,,電源供應器 / 電腦機殼 / 電競家具,高功率 PC 電源規格、伺服器機箱、自有品牌 (COUGAR)
3033,威健,,,電子零組件代理 / 半導體通路,代理 AMD/Lattice、技術支援 (FAE) 能力、通路資金成本
